Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
My neck is thinner than a hair: Engines,Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),1996-2001,One hundred inkjet prints,"Each 9 7/16 × 13 3/8"" (24 × 34 cm)
",Fund for the Twenty-First Century,228.2004.a-vvvv,Photograph,Photography,2004-05-13,Y,91530,http://www.moma.org/collection/works/91530,http://www.moma.org/media/W1siZiIsIjExMDkxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=80c015385cf2d355,,,,24.0,,,34.0,,
"Oh God, he said, talking to a tree",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,Series of thirty-one digital prints,"sheet (each): 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.1-31,Print,Drawings & Prints,2008-06-18,Y,119114,http://www.moma.org/collection/works/119114,http://www.moma.org/media/W1siZiIsIjIxNTkzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=55ea7f34cf07d577,,,,43.1,,,55.9,,
Hostage: The Bachar Tapes (English version),Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2001,"Standard-definition video (color, sound)",16:17 min.,"Gift of the Jerome Foundation in honor of its founder, Jerome Hill",471.2003,Video,Media and Performance,2003-03-25,Y,120222,http://www.moma.org/collection/works/120222,http://www.moma.org/media/W1siZiIsIjE1NzU1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5afe81241309cfa2,,,,,,,,,977.0
littleBits,Ayah Bdeir,39128,"(Lebanese, born 1982)",(Lebanese),(1982),(0),(Female),2008,"Printed circuit board, analog components, and magnets","Each (approx): 13/16 x 13/16"" (2 x 2 cm)",Gift of the designer,766.2011.1-2,Design,Architecture & Design,2011-09-20,Y,145485,http://www.moma.org/collection/works/145485,http://www.moma.org/media/W1siZiIsIjQ2NzM0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fa34af913388c0c3,,,,2.0,,,2.0,,
"Title page from Oh God, he said, talking to a tree",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,Title page from a series of thirty-one digital prints,"sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.1,Print,Drawings & Prints,2008-06-18,Y,146813,http://www.moma.org/collection/works/146813,http://www.moma.org/media/W1siZiIsIjIxNTk0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=35e8aa43afb5cde7,,0.0,,43.1,,,55.9,,
"Untitled from Oh God, he said, talking to a tree",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of thirty-one digital prints (text),"sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.2,Print,Drawings & Prints,2008-06-18,Y,146814,http://www.moma.org/collection/works/146814,http://www.moma.org/media/W1siZiIsIjIxNTk1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=37142e3e89cac400,,0.0,,43.1,,,55.9,,
"Oh God, he said, talking to a tree\Beirut: July 20, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 1 9/16 x 1 3/8"" (4 x 3.5 cm); sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.3,Print,Drawings & Prints,2008-06-18,Y,146815,http://www.moma.org/collection/works/146815,http://www.moma.org/media/W1siZiIsIjIxNTMxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7e0f81798a5d9156,,,,4.0,,,3.5,,
"Oh God, he said, talking to a tree\Beirut: July 20, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 13/16 x 1 3/4"" (2 x 4.5 cm); sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.4,Print,Drawings & Prints,2008-06-18,Y,146816,http://www.moma.org/collection/works/146816,http://www.moma.org/media/W1siZiIsIjIxNTk2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c14486c50697f64d,,,,2.0,,,4.5,,
"Oh God, he said, talking to a tree\Tyre: August 8, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 1 5/16 x 1 5/16"" (3.4 x 3.4 cm); sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.5,Print,Drawings & Prints,2008-06-18,Y,146817,http://www.moma.org/collection/works/146817,http://www.moma.org/media/W1siZiIsIjIxNTk2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c75965abe9f8e931,,,,3.4,,,3.4,,
"Oh God, he said, talking to a tree\Khiyam: August 8, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 1 1/2 x 1 15/16"" (3.8 x 5 cm); sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.6,Print,Drawings & Prints,2008-06-18,Y,146818,http://www.moma.org/collection/works/146818,http://www.moma.org/media/W1siZiIsIjIxNTMxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4861a412bf32d680,,,,3.8,,,5.0,,
"Oh God, he said, talking to a tree\Beirut: August 6, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 1 3/16 x 1 9/16"" (3 x 4 cm); sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.7,Print,Drawings & Prints,2008-06-18,Y,146819,http://www.moma.org/collection/works/146819,http://www.moma.org/media/W1siZiIsIjIxNTk2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=63f47465f4f1843a,,,,3.0,,,4.0,,
"Oh God, he said, talking to a tree\Beirut: July 19, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 1 1/16 x 1 3/16"" (2.7 x 3 cm); sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.8,Print,Drawings & Prints,2008-06-18,Y,146820,http://www.moma.org/collection/works/146820,http://www.moma.org/media/W1siZiIsIjIxNTk2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=12c9b7a1df3a76b1,,,,2.7,,,3.0,,
"Oh God, he said, talking to a tree\Khiyam: August 2, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 1 9/16 x 1 3/8"" (4 x 3.5 cm), sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.9,Print,Drawings & Prints,2008-06-18,Y,146821,http://www.moma.org/collection/works/146821,http://www.moma.org/media/W1siZiIsIjIxNTk2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a653db5aa2b1752d,,,,4.0,,,3.5,,
"Oh God, he said, talking to a tree\Sidon: August 6, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 1 1/4 x 1 5/8"" (3.2 x 4.1 cm); sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.10,Print,Drawings & Prints,2008-06-18,Y,146822,http://www.moma.org/collection/works/146822,http://www.moma.org/media/W1siZiIsIjIxNTk0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fab5c44aa3910b4a,,,,3.2,,,4.1,,
"Oh God, he said, talking to a tree\Beirut: July 20, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 5/8 x 1 9/16"" (1.6 x 4 cm); sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.11,Print,Drawings & Prints,2008-06-18,Y,146823,http://www.moma.org/collection/works/146823,http://www.moma.org/media/W1siZiIsIjIxNTk0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7da79aac4e064500,,,,1.6,,,4.0,,
"Oh God, he said, talking to a tree\Beirut: July 18, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 1 1/8 x 1 1/8"" (2.9 x 2.9 cm); sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.12,Print,Drawings & Prints,2008-06-18,Y,146824,http://www.moma.org/collection/works/146824,http://www.moma.org/media/W1siZiIsIjIxNTk0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2bd448d405e4ec3f,,,,2.9,,,2.9,,
"Oh God, he said, talking to a tree\Beirut: August 4, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 1 3/8 x 1 1/2"" (3.5 x 3.8 cm); sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.13,Print,Drawings & Prints,2008-06-18,Y,146825,http://www.moma.org/collection/works/146825,http://www.moma.org/media/W1siZiIsIjIxNTk0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=567bc7ef1f623ca4,,,,3.5,,,3.8,,
"Oh God, he said, talking to a tree\Tyre: July 26, 2006",Walid Raad,35285,"(Lebanese, born 1967)",(Lebanese),(1967),(0),(Male),2004/2008,One from a series of 31 digital prints,"composition (irreg.): 11/16 x 1 9/16"" (1.8 x 4 cm); sheet: 16 15/16 x 22"" (43.1 x 55.9 cm)",General Print Fund,600.2008.14,Print,Drawings & Prints,2008-06-18,Y,146826,http://www.moma.org/collection/works/146826,http://www.moma.org/media/W1siZiIsIjIxNTMxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f79a2d511a6ad3be,,,,1.8,,,4.0,,
