Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Aspirator,Oskar Kogoj,3191,"(Slovene, born 1942)",(Slovenian),(1942),(0),(Male),1974,Rubber and plastic,"4 1/2 x 1 1/2"" (11.5 x 3.8 cm)",Gift of the manufacturer,215.1978,Design,Architecture & Design,1978-02-27,Y,2719,http://www.moma.org/collection/works/2719,http://www.moma.org/media/W1siZiIsIjIxMDcyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2c765e0d80e980b5,,,3.81000762,11.5,,,,,
Microphone (model MD9),Marko Turk,5974,"(Slovenian (former Yugoslavia), 1920–1999)",(Slovenian),(1920),(1999),(Male),1963,Chrome-plated and enameled metal,"8 1/2 x 4"" (21.6 x 10.2 cm)",Gift of the manufacturer,465.1964,Design,Architecture & Design,1964-05-12,Y,3912,http://www.moma.org/collection/works/3912,http://www.moma.org/media/W1siZiIsIjIyOTc1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4f6088d946e7ff43,,,,21.5900431801,,,10.16002032,,
Microphone (model MD8-C),Marko Turk,5974,"(Slovenian (former Yugoslavia), 1920–1999)",(Slovenian),(1920),(1999),(Male),1962,Chrome-plated and enameled metal,"5 1/2 x 4"" (14 x 10.2 cm)",Gift of the designer,466.1964,Design,Architecture & Design,1964-05-12,Y,3919,http://www.moma.org/collection/works/3919,http://www.moma.org/media/W1siZiIsIjIyOTc2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=25a652aac46b4e80,,,,13.9700279401,,,10.16002032,,
System K-67 (Kiosk),Saša Janez Mächtig,3667,"(Slovenian, born 1941)",(Slovenian),(1941),(0),(Male),1967,Reinforced polyester shell,"87 3/8 × 87 3/8 × 87 3/8"" (222 × 222 × 222 cm)","Gift of Enterprise Magistrat, Ljubljana, Yugoslavia",665.1970,Design,Architecture & Design,1970-11-05,N,4192,,,,222.0,,222.0,,,222.0,,
Yellow Comb,Riko Debenjak,1461,"(Slovenian, 1908 – 1987)",(Slovenian),(1908),(1987),(Male),1962,"Aquatint and collage, printed in black and color","Plate 19 11/16 x 12 3/4"" (50.0 x 32.3  cm) Sheet 25 15/16 x 19 7/8"" (65.8 x 50.5  cm)",Eve Clendenin Fund,89.1965,Print,Drawings & Prints,1965-03-09,N,61657,,,,,,50.0,,,32.3,,
Fishes,Zoran Mušič,4189,"(Slovenian, 1909–2005)",(Slovenian),(1909),(2005),(Male),1951,Lithograph,"composition: 11 7/16 x 14 7/8"" (29 x 37.8cm); sheet: 14 1/2 x 19"" (36.8 x 48.3cm)",Purchase Fund,116.1952,Print,Drawings & Prints,1952-05-20,Y,62094,http://www.moma.org/collection/works/62094,http://www.moma.org/media/W1siZiIsIjE2NzQ3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b1f8a6e247b13f96,,,,29.0,,,37.8,,
Dalmatian Theme,Zoran Mušič,4189,"(Slovenian, 1909–2005)",(Slovenian),(1909),(2005),(Male),1953,Lithograph,"composition: 9 5/8 x 12 5/8"" (24.5 x 32cm); sheet (folded): 9 7/8 x 13"" (25.1 x 33cm)",Gift of Allen Porter,133.1954,Print,Drawings & Prints,1954-04-06,Y,62487,http://www.moma.org/collection/works/62487,http://www.moma.org/media/W1siZiIsIjE2NzQ3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8855c7646247d040,,,,24.5,,,32.0,,
Colts (Cavallini),Zoran Mušič,4189,"(Slovenian, 1909–2005)",(Slovenian),(1909),(2005),(Male),1953,Lithograph,"composition: 12 7/8 x 17"" (32.7 x 43.2cm); sheet: 15 1/4 x 19 9/16"" (38.7 x 49.7cm)",Larry Aldrich Fund,134.1954,Print,Drawings & Prints,1954-04-06,Y,62516,http://www.moma.org/collection/works/62516,http://www.moma.org/media/W1siZiIsIjE2NzQ3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aac9b3935e4df688,,,,32.7,,,43.2,,
Horses Passing By (Cavalli che passano),Zoran Mušič,4189,"(Slovenian, 1909–2005)",(Slovenian),(1909),(2005),(Male),1949,Lithograph,"composition: 12 x 19 5/16"" (30.5 x 49cm); sheet: 15 1/4 x 22 7/16"" (38.7 x 57cm)",Larry Aldrich Fund,135.1954,Print,Drawings & Prints,1954-04-06,Y,62550,http://www.moma.org/collection/works/62550,http://www.moma.org/media/W1siZiIsIjIxODI5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=89beb4f66760c92f,,,,30.5,,,49.0,,
DALMATION LANDSCAPE I,Zoran Mušič,4189,"(Slovenian, 1909–2005)",(Slovenian),(1909),(2005),(Male),(1959),Etching,,Gift of Mr. and Mrs. Donald B. Straus,264.1967,Print,Drawings & Prints,1967-04-11,N,65537,,,,,,,,,,,
STONES ON THE CARSE,Zoran Mušič,4189,"(Slovenian, 1909–2005)",(Slovenian),(1909),(2005),(Male),(1958),Color etching,,Gift of the Galerie de France,368.1958,Print,Drawings & Prints,1958-12-19,N,67898,,,,,,,,,,,
Dalmatian Landscape (Paysage dalmate),Zoran Mušič,4189,"(Slovenian, 1909–2005)",(Slovenian),(1909),(2005),(Male),1955,Lithograph,"composition: 17 5/16 x 22 5/16"" (43.9 x 56.7cm); sheet: 19 11/16 x 25 13/16"" (50 x 65.5cm)",Larry Aldrich Fund,404.1954,Print,Drawings & Prints,1954-09-30,Y,68516,http://www.moma.org/collection/works/68516,http://www.moma.org/media/W1siZiIsIjIxODU0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=60325295f214fa27,,,,43.9,,,56.7,,
Telephone 5,Janez Bernik,518,"(Slovenian, 1933 – 2016)",(Slovenian),(1933),(2016),(Male),1968,Etching and aquatint,"plate (irreg.): 20 x 11 1/4"" (50.8 x 28.6 cm); sheet: 25 3/4 x 19 3/4"" (65.4 x 50.2 cm)",Adriane Reggie Fund,481.1971,Print,Drawings & Prints,1971-10-07,Y,69847,http://www.moma.org/collection/works/69847,http://www.moma.org/media/W1siZiIsIjIwODk4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a0761e416779ce31,,,,50.8,,,28.6,,
Magical Dimensions No. VII,Riko Debenjak,1461,"(Slovenian, 1908 – 1987)",(Slovenian),(1908),(1987),(Male),1967,Etching and aquatint,"plate: 19 3/8 x 25 1/2"" (49.2 x 64.8 cm); sheet: 22 1/2 x 30 1/16"" (57.1 x 76.3 cm)",Adriane Reggie Fund,482.1971,Print,Drawings & Prints,1971-10-07,Y,69904,http://www.moma.org/collection/works/69904,http://www.moma.org/media/W1siZiIsIjIxODYyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a17366f1dc6128b2,,,,49.2,,,64.8,,
Fragile,Adriana Jadranka Maraž,3747,"(Slovenian, 1931 – 2015)",(Slovenian),(1931),(2015),(Female),(1968),Etching and aquatint,,Adriane Reggie Fund,498.1971,Print,Drawings & Prints,1971-10-07,Y,70153,http://www.moma.org/collection/works/70153,http://www.moma.org/media/W1siZiIsIjIyNTMyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=86598fc278c1e0a8,,,,,,,,,
Basket Bearers,Riko Debenjak,1461,"(Slovenian, 1908 – 1987)",(Slovenian),(1908),(1987),(Male),1953,Aquatint,"plate: 11 13/16 x 15 7/8"" (30 x 40.4cm); sheet: 15 5/16 x 19 9/16"" (38.9 x 49.7cm)",Purchase,586.1954,Print,Drawings & Prints,1954-12-16,Y,71522,http://www.moma.org/collection/works/71522,http://www.moma.org/media/W1siZiIsIjI2Mzk5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5fddc418430d48ad,,,,30.0,,,40.4,,
Eastern European Prints,"Janez Bernik, Ion Bitzan, Marcel Chirnoaga, Arnold Gross, Jiří John, Béla Kondor, Danuta Leszczynska-Kluza, Ryszard K. Otreba, Marjan Pogačnik, Jaroslav Šerých, Various Artists","518, 580, 1107, 2363, 2922, 3209, 3494, 4447, 4659, 5355, 24409","(Slovenian, 1933 – 2016) (Romanian, 1924–1997) (Romanian, 1930–2008) (Hungarian, 1929–2015) (Czech, 1923–1972) (Hungarian, 1931–1972) (Polish, born 1926) (Polish, born 1932) (Slovenian, 1920 – 2005) (Czech, 1923–2014)",(Slovenian) (Romanian) (Romanian) (Hungarian) (Czech) (Hungarian) (Polish) (Polish) (Slovenian) (Czech) (),(1933) (1924) (1930) (1929) (1923) (1931) (1926) (1932) (1920) (1923) (0),(2016) (1997) (2008) (2015) (1972) (1972) (0) (0) (2005) (2014) (0),(Male) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (),"1966–70, published 1970","Portfolio of eight etchings, one plaster relief and one wood engraving",composition and sheet (see child records): dimensions vary,Gift of Andrew and Mary Stasik,625.1970.1-10,Print,Drawings & Prints,1970-12-15,Y,72039,http://www.moma.org/collection/works/72039,http://www.moma.org/media/W1siZiIsIjIwNjM4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dac500bdcb865727,,,,55.5,,,43.2,,
Eastern European Prints,"Janez Bernik, Ion Bitzan, Marcel Chirnoaga, Arnold Gross, Jiří John, Béla Kondor, Danuta Leszczynska-Kluza, Ryszard K. Otreba, Marjan Pogačnik, Jaroslav Šerých, Various Artists","518, 580, 1107, 2363, 2922, 3209, 3494, 4447, 4659, 5355, 24409","(Slovenian, 1933 – 2016) (Romanian, 1924–1997) (Romanian, 1930–2008) (Hungarian, 1929–2015) (Czech, 1923–1972) (Hungarian, 1931–1972) (Polish, born 1926) (Polish, born 1932) (Slovenian, 1920 – 2005) (Czech, 1923–2014)",(Slovenian) (Romanian) (Romanian) (Hungarian) (Czech) (Hungarian) (Polish) (Polish) (Slovenian) (Czech) (),(1933) (1924) (1930) (1929) (1923) (1931) (1926) (1932) (1920) (1923) (0),(2016) (1997) (2008) (2015) (1972) (1972) (0) (0) (2005) (2014) (0),(Male) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (),"1966–70, published 1970","Portfolio of eight etchings, one plaster relief and one wood engraving",composition and sheet (see child records): dimensions vary,Gift of Andrew and Mary Stasik,625.1970.1-10,Print,Drawings & Prints,1970-12-15,Y,72039,http://www.moma.org/collection/works/72039,http://www.moma.org/media/W1siZiIsIjIwNjM4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dac500bdcb865727,,,,55.5,,,43.2,,
The Birth of a Sunny Day from Eastern European Prints,Marjan Pogačnik,4659,"(Slovenian, 1920 – 2005)",(Slovenian),(1920),(2005),(Male),"1969, published 1970","Etching, printed in color","plate: 17 11/16 × 12 15/16"" (44.9 × 32.9 cm); sheet: 21 11/16 × 16 15/16"" (55.1 × 43 cm)",Gift of Andrew and Mary Stasik,625.1970.10,Print,Drawings & Prints,1970-12-15,N,72040,,,,,,44.9,,,32.9,,
No. 9 from Eastern European Prints,Janez Bernik,518,"(Slovenian, 1933 – 2016)",(Slovenian),(1933),(2016),(Male),"1968, published 1970","Etching and aquatint, printed in color","composition (irreg.): 18 3/8 × 9 13/16"" (46.6 × 24.9 cm); sheet: 21 5/8 × 16 15/16"" (54.9 × 43.1 cm)",Gift of Andrew and Mary Stasik,625.1970.9,Print,Drawings & Prints,1970-12-15,N,72048,,,,,,46.6,,,24.9,,
(Untitled),Janez Bernik,518,"(Slovenian, 1933 – 2016)",(Slovenian),(1933),(2016),(Male),,Etching,,Purchase,2423.1967,Print,Drawings & Prints,1967-12-13,N,78152,,,,,,,,,,,
THE LAST SUPPER,Kiar Bogdan Meško,3944,"(Slovenian, born 1936)",(Slovenian),(1936),(0),(Male),1966,"Etching and aquatint, relief and intaglio, printed in black and color","Plate 27 5/8 x 19 3/16"" (70.1 x 48.8 cm)Sheet 31 1/8 x 22 1/8"" (79.0 x 58.0 cm)",Eve Clendenin Fund,2455.1967,Print,Drawings & Prints,1967-12-13,N,78191,,,,,,70.1,,,48.8,,
ANNUNCIATION,Kiar Bogdan Meško,3944,"(Slovenian, born 1936)",(Slovenian),(1936),(0),(Male),1966,"Etching and aquatint, relief and intaglio, printed in black and color","Plate 27 7/16 x 17 7/16"" (69.7 x 44.3 cm)Sheet 31 1/8 x 21 11/16"" (79.0 x 55.0 cm)",Eve Clendenin Fund,2456.1967,Print,Drawings & Prints,1967-12-13,N,78192,,,,,,69.7,,,44.3,,
Dalmatian Scene,Zoran Mušič,4189,"(Slovenian, 1909–2005)",(Slovenian),(1909),(2005),(Male),1951,Oil on canvas,"21 3/8 x 28 3/4"" (54.3 x 73 cm)",Purchase,22.1953,Painting,Painting & Sculpture,1953-01-30,Y,78488,http://www.moma.org/collection/works/78488,http://www.moma.org/media/W1siZiIsIjIwODAzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=26274bf01adcea55,,,,54.3,,,73.0,,
Caracas: Growing House,Marjetica Potrč,28766,"(Slovenian, born 1953)",(Slovenian),(1953),(0),(Female),2003,"Felt-tip pen on paper
","11 1/2 x 8 1/4"" (29.2 x 21 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2823.2005.1,Drawing,Drawings & Prints,2005-05-10,Y,97106,http://www.moma.org/collection/works/97106,http://www.moma.org/media/W1siZiIsIjEyMzI0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ce2b352fcf5153bc,,,,29.2101,,,20.955,,
Caracas: Growing House,Marjetica Potrč,28766,"(Slovenian, born 1953)",(Slovenian),(1953),(0),(Female),2003,"Felt-tip pen on paper
","11 1/2 x 8 1/4"" (29.2 x 21 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2823.2005.2,Drawing,Drawings & Prints,2005-05-10,Y,97107,http://www.moma.org/collection/works/97107,http://www.moma.org/media/W1siZiIsIjEyMzI1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=978c771d5e87c790,,,,29.2101,,,20.955,,
Caracas: Growing House,Marjetica Potrč,28766,"(Slovenian, born 1953)",(Slovenian),(1953),(0),(Female),2003,"Felt-tip pen on paper
","11 1/2 x 8 1/4"" (29.2 x 21 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2823.2005.3,Drawing,Drawings & Prints,2005-05-10,Y,97108,http://www.moma.org/collection/works/97108,http://www.moma.org/media/W1siZiIsIjEyMzI1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e5d92e56a61196f7,,,,29.2101,,,20.955,,
Quasi-Random Drawing-Concave,Tobias Putrih,28769,"(Slovenian, born 1972)",(Slovenian),(1972),(0),(Male),(2003),Pencil on paper,"59 x 59"" (149.9 x 149.9 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2836.2005,Drawing,Drawings & Prints,2005-05-10,Y,97120,http://www.moma.org/collection/works/97120,http://www.moma.org/media/W1siZiIsIjExNTcxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5de457659c45158e,,,,149.8603,,,149.8603,,
NSK Garda Cetinje,IRWIN,29979,"(Slovenian, active 1983–present)",(Slovenian),(1983),(0),(),2002 (printed 2006),Digital print,"composition: 26 3/8 x 18 1/2"" (67 x 47 cm); sheet: 27 9/16 x 19 11/16"" (70 x 50 cm)",The Associates Fund,263.2006,Print,Drawings & Prints,2006-03-08,Y,100737,http://www.moma.org/collection/works/100737,http://www.moma.org/media/W1siZiIsIjEwODA2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1a1e79fddcd47357,,,,67.0,,,47.0,,
NSK Garda Zagreb,IRWIN,29979,"(Slovenian, active 1983–present)",(Slovenian),(1983),(0),(),2000 (printed 2006),Digital print,"composition: 26 3/8 x 18 1/2"" (67 x 47 cm); sheet: 27 9/16 x 19 11/16"" (70 x 50 cm)",The Associates Fund,262.2006,Print,Drawings & Prints,2006-03-08,Y,100738,http://www.moma.org/collection/works/100738,http://www.moma.org/media/W1siZiIsIjEwODA2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a3cc935fafbfe89c,,,,67.0,,,47.0,,
NSK Garda Pristina,IRWIN,29979,"(Slovenian, active 1983–present)",(Slovenian),(1983),(0),(),2002 (printed 2006),Digital print,"composition: 26 3/8 x 18 1/2"" (67 x 47 cm); sheet: 27 9/16 x 19 11/16"" (70 x 50 cm)",Gift of the artists,264.2006,Print,Drawings & Prints,2006-03-08,Y,101949,http://www.moma.org/collection/works/101949,http://www.moma.org/media/W1siZiIsIjEwODA2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3066288ac24f4a30,,,,67.0,,,47.0,,
Macula series A&L,Tobias Putrih,28769,"(Slovenian, born 1972)",(Slovenian),(1972),(0),(Male),2005,Cardboard,Dimensions variable,Fund for the Twenty-First Century,366.2006.1-3,Sculpture,Painting & Sculpture,2006-05-08,Y,102487,http://www.moma.org/collection/works/102487,http://www.moma.org/media/W1siZiIsIjEwNTI3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a6e142e54f498543,,,,,,,,,
"NSK Guard Tirana, NSK Guard Prague, NSK Guard Rome, and NSK Guard Graz from the Museum in Progress project Global Positions",IRWIN,29979,"(Slovenian, active 1983–present)",(Slovenian),(1983),(0),(),"(newspapers published Nov 12, 2001 through Dec 10, 2001)","Lithographs, offset printed","sheet (each): 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.189a-e,Print,Drawings & Prints,2006-06-01,N,103602,,,,,,47.0,,,31.5,,
Caracas: Growing House,Marjetica Potrč,28766,"(Slovenian, born 1953)",(Slovenian),(1953),(0),(Female),2003,Felt-tip pen on paper,"Frame: 12 x 9"" (30.5 x 22.9 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2823.2005.1-3,Drawing,Drawings & Prints,2005-05-10,N,111024,,,,0.0,,30.4801,,,22.86,,
"BIO 1 (Poster for the first Biennial of Industrial Design held in Ljubljana, former Yugoslavia)",Majda Dobravec-Lajovic,37496,"(Slovenian, born Yugoslavia. 1931 – 2020)",(Slovenian),(1931),(2020),(Female),1964,Screenprint,"38 7/8 x 26 7/8"" (98.7 x 68.3 cm)",Gift of the designer,362.2014,Design,Architecture & Design,2014-05-19,Y,130494,http://www.moma.org/collection/works/130494,http://www.moma.org/media/W1siZiIsIjI3NTUwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b368d9d91c2c3468,,,,98.7426974854,,,68.2626365253,,
ETA 85 Telephone,Davorin Savnik,38326,(1929–2014),(Slovenian),(1929),(2014),(Male),1979,Plastic and other materials,"2 7/8 x 8 3/4 x 10"" (7.3 x 22.2 x 25.4 cm)","Gift of the Museum of Architecture and Design, Ljubljana, Slovenia",977.2010,Design,Architecture & Design,2010-12-06,Y,138921,http://www.moma.org/collection/works/138921,http://www.moma.org/media/W1siZiIsIjI4NzI0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d8fb60da231dbf80,,25.4000508001,,7.302514605,,,22.2250444501,,
Struggle for Spatial Justice,Marjetica Potrč,28766,"(Slovenian, born 1953)",(Slovenian),(1953),(0),(Female),,10 drawings,"13 3/4 x 11 1/4"" (34.9 x 28.6 cm)",Gift of Constance R. Caplan,1731.2012.1-10,Architecture,Architecture & Design,2012-10-15,N,163323,,,,,,34.9250698501,,,28.5750571501,,
Struggle for Spatial Justice,Marjetica Potrč,28766,"(Slovenian, born 1953)",(Slovenian),(1953),(0),(Female),2005–2007,Ink and marker on paper,"10 3/4 x 8 1/4"" (27.3 x 21 cm)",Gift of Constance R. Caplan,1731.2012.1,Architecture,Architecture & Design,2012-10-15,Y,167718,http://www.moma.org/collection/works/167718,http://www.moma.org/media/W1siZiIsIjI5MzE2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=320460a5a49efd0c,,,,34.9250698501,,,28.5750571501,,
