Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Orgone Chaise Longue,Marc Newson,7999,"(Australian, born 1963)",(Australian),(1963),(0),(Male),1989,Fiberglass,"19 11/16 x 29 1/2 x 70 7/8"" (50 x 75 x 180 cm)",Gift of the manufacturer,205.1998,Design,Architecture & Design,1998-04-22,Y,2654,http://www.moma.org/collection/works/2654,,,180.0,,50.0,,,75.0,,
Wood Chair,Marc Newson,7999,"(Australian, born 1963)",(Australian),(1963),(0),(Male),1988,Wood,"24 3/8 x 32 1/4 x 39 3/4"" (61.9 x 82.6 x 101 cm)",Gift of the manufacturer,206.1998,Design,Architecture & Design,1998-04-22,Y,2658,http://www.moma.org/collection/works/2658,http://www.moma.org/media/W1siZiIsIjIxMDY4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c58d7874b6a7386,,100.9652,,61.9126,,,82.5502,,
Pepe Chair,Christopher Connell,8026,"(Australian, born 1954)",(Australian),(1954),(0),(Male),1992,"Injection-molded CFC (Chlorofluorocarbon-free) flexible polyurethane foam, self-skinning polyurethane, wool and steel","51 3/4 x 20 x 24"" (131.5 x 50.8 x 61 cm)",Gift of the manufacturer,240.1998,Design,Architecture & Design,1998-04-22,Y,2974,http://www.moma.org/collection/works/2974,http://www.moma.org/media/W1siZiIsIjIxMDg1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5873fe2a31988736,,61.0,,131.5,,,50.8,,
Chair (model 248),Clement Meadmore,3902,"(Australian, 1929–2005)",(Australian),(1929),(2005),(Male),1963,Steel and leather,"28 1/2 x 28 1/2 x 26"" (72.4 x 72.4 x 66 cm)",Gift of David Whitney,329.1967,Design,Architecture & Design,1967-04-11,Y,3308,http://www.moma.org/collection/works/3308,http://www.moma.org/media/W1siZiIsIjIyOTI4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c90a4bdbe57e947,,66.0401,,72.3901,,,72.3901,,
Bowl,"Colin Schuster, Craig Schuster","5280, 7176","(Australian, born 1931) (Australian, born 1960)",(Australian) (Australian),(1931) (1960),(0) (0),(Male) (Male),1984,Australian Bastard Mallee wood (Eucalyptus),"6 3/8 x 8 1/4"" (16.2 x 21 cm)",Gift of Don Page,372.1985,Design,Architecture & Design,1985-11-18,Y,3472,http://www.moma.org/collection/works/3472,http://www.moma.org/media/W1siZiIsIjIxMTIwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=323cacb763974cbf,,,21.0,16.2,,,,,
Bowl,"Colin Schuster, Craig Schuster","5280, 7176","(Australian, born 1931) (Australian, born 1960)",(Australian) (Australian),(1931) (1960),(0) (0),(Male) (Male),1984,Australian Bastard Mallee wood (Eucalyptus),"6 3/8 x 8 1/4"" (16.2 x 21 cm)",Gift of Don Page,372.1985,Design,Architecture & Design,1985-11-18,Y,3472,http://www.moma.org/collection/works/3472,http://www.moma.org/media/W1siZiIsIjIxMTIwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=323cacb763974cbf,,,21.0,16.2,,,,,
BYO Insulated Wine Chiller,Richard Carlson,976,"(Australian, born 1941)",(Australian),(1941),(0),(Male),1978,"Molded ABS polymer, polyethylene, and polypropylene","Overall: 14 3/4 x 8 x 4 1/2"" (37.5 x 20.3 x 11.5 cm)",Gift of the manufacturer,725.1983.a-c,Design,Architecture & Design,1983-11-30,Y,4409,http://www.moma.org/collection/works/4409,http://www.moma.org/media/W1siZiIsIjIzMDUyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a64f04d5cbaad071,,11.5,,37.5,,,20.3,,
Supplementary drawing (inserted before title page) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,Colored crayon,"irreg. composition  9 11/16 x 7 9/16"" (24.6 x 19.2 cm)",Gift of the artist,17.1972.1,Illustrated Book,Drawings & Prints,1972-02-07,N,9246,,,,,,24.6,,,19.2,,
Paradise Garden,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,Illustrated book with fifty lithographs and one supplementary crayon drawing,"page  12 3/16 x 9 7/16"" (31 x 24 cm)
Prints:  various dimensions.",Gift of the artist,17.1972.1-52,Illustrated Book,Drawings & Prints,1972-02-07,Y,9247,http://www.moma.org/collection/works/9247,,,,,31.0,,,24.0,,
Plate (page 24) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 9/16 x 8"" (24.3 x 20.4 cm)",Gift of the artist,17.1972.10,Illustrated Book,Drawings & Prints,1972-02-07,N,9248,,,,,,24.3,,,20.4,,
Plate (page 27) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 7 15/16"" (24.4 x 20.3 cm)",Gift of the artist,17.1972.11,Illustrated Book,Drawings & Prints,1972-02-07,N,9249,,,,,,24.4,,,20.3,,
Plate (page 28) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 3/4 x 8 1/16"" (24.8 x 20.5 cm)",Gift of the artist,17.1972.12,Illustrated Book,Drawings & Prints,1972-02-07,N,9250,,,,,,24.8,,,20.5,,
Plate (page 31) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 7 15/16"" (24.4 x 20.3 cm)",Gift of the artist,17.1972.13,Illustrated Book,Drawings & Prints,1972-02-07,N,9251,,,,,,24.4,,,20.3,,
Plate (page 32) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 9/16 x 7 15/16"" (24.3 x 20.2 cm)",Gift of the artist,17.1972.14,Illustrated Book,Drawings & Prints,1972-02-07,N,9252,,,,,,24.3,,,20.2,,
Plate (page 35) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"irreg. composition  9 5/8 x 8"" (24.4 x 20.4 cm)",Gift of the artist,17.1972.15,Illustrated Book,Drawings & Prints,1972-02-07,N,9253,,,,,,24.4,,,20.4,,
Plate (page 36) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 3/4 x 7 15/16"" (24.8 x 20.3 cm)",Gift of the artist,17.1972.16,Illustrated Book,Drawings & Prints,1972-02-07,N,9254,,,,,,24.8,,,20.3,,
Plate (page 39) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 11/16 x 8"" (24.6 x 20.4 cm)",Gift of the artist,17.1972.17,Illustrated Book,Drawings & Prints,1972-02-07,N,9255,,,,,,24.6,,,20.4,,
Plate (page 40) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 8"" (24.5 x 20.4 cm)",Gift of the artist,17.1972.18,Illustrated Book,Drawings & Prints,1972-02-07,N,9256,,,,,,24.5,,,20.4,,
Plate (page 43) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 7 15/16"" (24.4 x 20.2 cm)",Gift of the artist,17.1972.19,Illustrated Book,Drawings & Prints,1972-02-07,N,9257,,,,,,24.4,,,20.2,,
Title page from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,"Lithograph, printed in color","irreg. composition  1 15/16 x 1 7/8"" (5 x 4.7 cm)",Gift of the artist,17.1972.2,Illustrated Book,Drawings & Prints,1972-02-07,N,9258,,,,,,5.0,,,4.7,,
Plate (page 44) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 7 15/16"" (24.4 x 20.3 cm)",Gift of the artist,17.1972.20,Illustrated Book,Drawings & Prints,1972-02-07,N,9259,,,,,,24.4,,,20.3,,
Plate (page 47) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 11/16 x 8 1/16"" (24.6 x 20.5 cm)",Gift of the artist,17.1972.21,Illustrated Book,Drawings & Prints,1972-02-07,N,9260,,,,,,24.6,,,20.5,,
Plate (page 48) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 8"" (24.4 x 20.4 cm)",Gift of the artist,17.1972.22,Illustrated Book,Drawings & Prints,1972-02-07,N,9261,,,,,,24.4,,,20.4,,
Plate (page 51) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 8"" (24.4 x 20.4 cm)",Gift of the artist,17.1972.23,Illustrated Book,Drawings & Prints,1972-02-07,N,9262,,,,,,24.4,,,20.4,,
Plate (page 52) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 7 15/16"" (24.4 x 20.3 cm)",Gift of the artist,17.1972.24,Illustrated Book,Drawings & Prints,1972-02-07,N,9263,,,,,,24.4,,,20.3,,
Plate (page 55) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 9/16 x 7 7/8"" (24.3 x 20 cm)",Gift of the artist,17.1972.25,Illustrated Book,Drawings & Prints,1972-02-07,N,9264,,,,,,24.3,,,20.0,,
Plate (page 56) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 11/16 x 7 15/16"" (24.6 x 20.3 cm)",Gift of the artist,17.1972.26,Illustrated Book,Drawings & Prints,1972-02-07,N,9265,,,,,,24.6,,,20.3,,
Plate (page 59) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 8"" (24.5 x 20.4 cm)",Gift of the artist,17.1972.27,Illustrated Book,Drawings & Prints,1972-02-07,N,9266,,,,,,24.5,,,20.4,,
Plate (page 60) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 8"" (24.4 x 20.4 cm)",Gift of the artist,17.1972.28,Illustrated Book,Drawings & Prints,1972-02-07,N,9267,,,,,,24.4,,,20.4,,
Plate (page 63) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 7 15/16"" (24.4 x 20.3 cm)",Gift of the artist,17.1972.29,Illustrated Book,Drawings & Prints,1972-02-07,N,9268,,,,,,24.4,,,20.3,,
Plate (page 11) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"Composition: 9 11/16 x 8"" (24.6 x 20.3 cm)",Gift of the artist,17.1972.3,Illustrated Book,Drawings & Prints,1972-02-07,N,9269,,,,,,24.6,,,20.3,,
Plate (page 64) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 11/16 x 8"" (24.6 x 20.4 cm)",Gift of the artist,17.1972.30,Illustrated Book,Drawings & Prints,1972-02-07,N,9270,,,,,,24.6,,,20.4,,
Plate (page 67) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 7 15/16"" (24.4 x 20.3 cm)",Gift of the artist,17.1972.31,Illustrated Book,Drawings & Prints,1972-02-07,N,9271,,,,,,24.4,,,20.3,,
Plate (page 68) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 11/16 x 7 15/16"" (24.6 x 20.3 cm)",Gift of the artist,17.1972.32,Illustrated Book,Drawings & Prints,1972-02-07,N,9272,,,,,,24.6,,,20.3,,
Plate (page 71) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 9/16 x 7 15/16"" (24.3 x 20.3 cm)",Gift of the artist,17.1972.33,Illustrated Book,Drawings & Prints,1972-02-07,N,9273,,,,,,24.3,,,20.3,,
Plate (page 72) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 8"" (24.5 x 20.4 cm)",Gift of the artist,17.1972.34,Illustrated Book,Drawings & Prints,1972-02-07,N,9274,,,,,,24.5,,,20.4,,
Plate (page 75) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 11/16 x 8"" (24.6 x 20.4 cm)",Gift of the artist,17.1972.35,Illustrated Book,Drawings & Prints,1972-02-07,N,9275,,,,,,24.6,,,20.4,,
Plate (page 76) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 7 15/16"" (24.4 x 20.3 cm)",Gift of the artist,17.1972.36,Illustrated Book,Drawings & Prints,1972-02-07,N,9276,,,,,,24.4,,,20.3,,
Plate (page 79) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 7 15/16"" (24.5 x 20.2 cm)",Gift of the artist,17.1972.37,Illustrated Book,Drawings & Prints,1972-02-07,N,9277,,,,,,24.5,,,20.2,,
Plate (page 80) from PARADISE GARDEN,Sidney Nolan,4325,"(Australian, 1917–1992)",(Australian),(1917),(1992),(Male),1971,,"composition  9 5/8 x 7 15/16"" (24.4 x 20.3 cm)",Gift of the artist,17.1972.38,Illustrated Book,Drawings & Prints,1972-02-07,N,9278,,,,,,24.4,,,20.3,,
